x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,f(x),laplacian,biharmonic,model,input_dim,output_dim,hidden_dim,num_layers,activation,precision
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.3381236791610718,-2.1874442100524902,38.78512954711914,ResNet,10,1,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.2623334228992462,0.0,0.0,ResNet,10,1,64,4,relu,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.2623334228992462,0.0,0.0,ResNet,10,1,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-2.6253015995025635,4.3766326904296875,-0.6197993159294128,ResNet,10,3,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-2.6253015995025635,4.3766326904296875,-0.6197993159294128,ResNet,10,3,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-1.779495120048523,0.0,0.0,ResNet,10,3,64,4,relu,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-1.779495120048523,0.0,0.0,ResNet,10,3,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-1.2419582605361938,3.4912400245666504,61.07915115356445,ResNet,10,10,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-1.2419582605361938,3.4912400245666504,61.07915115356445,ResNet,10,10,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-2.2391510009765625,0.0,0.0,ResNet,10,10,64,4,relu,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-2.2391510009765625,0.0,0.0,ResNet,10,10,64,4,relu,float64
