x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,f(x),laplacian,biharmonic,model,input_dim,hidden_dim,num_layers,activation,precision
0.3274685,-0.8426258,0.3194337,,,,,,,,-0.22017306089401245,0.057773735374212265,0.04201245307922363,MLP,3,64,4,tanh,float32
0.3274685,-0.8426258,0.3194337,,,,,,,,0.01818232424557209,0.0,0.0,MLP,3,64,4,relu,float32
0.3274685,-0.8426258,0.3194337,-1.4075519,-2.3880599,-1.0392479,-0.5573232,0.539707,1.6994323,0.28893656,0.5755610466003418,-0.33202672004699707,0.29510703682899475,MLP,10,64,4,tanh,float32
0.3274685,-0.8426258,0.3194337,-1.4075519,-2.3880599,-1.0392479,-0.5573232,0.539707,1.6994323,0.28893656,0.11339875310659409,0.0,0.0,MLP,10,64,4,relu,float32
0.3274685,-0.8426258,0.3194337,,,,,,,,0.74173903465271,-1.4536505937576294,8.030317306518555,ResNet,3,64,4,tanh,float32
0.3274685,-0.8426258,0.3194337,,,,,,,,-0.10218459367752075,0.0,0.0,ResNet,3,64,4,relu,float32
0.3274685,-0.8426258,0.3194337,-1.4075519,-2.3880599,-1.0392479,-0.5573232,0.539707,1.6994323,0.28893656,-1.1988261938095093,0.9991198182106018,-4.668854236602783,ResNet,10,64,4,tanh,float32
0.3274685,-0.8426258,0.3194337,-1.4075519,-2.3880599,-1.0392479,-0.5573232,0.539707,1.6994323,0.28893656,0.09008048474788666,0.0,0.0,ResNet,10,64,4,relu,float32
