model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time,framework
MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.0133265654246012,-0.0101188579574227,0.0,0.0234785079956054,0.0129086971282958,pytorch
MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.0015740394592285,-0.0101188579574227,0.0,0.0234785079956054,0.0129086971282958,pytorch
MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.0024754206339518,-0.0101188579574227,0.0,0.0234785079956054,0.0129086971282958,pytorch
MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.0023321310679117,-0.0101188579574227,0.0,0.0234785079956054,0.0129086971282958,pytorch
MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.0181109110514322,0.0050634127110242,0.0,0.0003333091735839,0.0003321965535481,pytorch
MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.0194560686747233,0.0050634127110242,0.0,0.0003333091735839,0.0003321965535481,pytorch
MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.0275085767110188,0.0050634075887501,2.623769257414921e-17,0.0003333091735839,0.0003321965535481,pytorch
MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.025649070739746,0.0050634075887501,2.623769257414921e-17,0.0003333091735839,0.0003321965535481,pytorch
MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.0020057360331217,0.0,0.0,0.003334363301595,0.0010005633036295,pytorch
MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.0011695226033528,0.0,0.0,0.003334363301595,0.0010005633036295,pytorch
MLP,3,64,4,relu,float32,laplacian,forward_forward,0.002012809117635,0.0,0.0,0.003334363301595,0.0010005633036295,pytorch
MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.0021678606669108,0.0,0.0,0.003334363301595,0.0010005633036295,pytorch
MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.0027056535085042,0.0,0.0,0.0,0.000319480895996,pytorch
MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.0028802553812662,0.0,0.0,0.0,0.000319480895996,pytorch
MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.0050106048583984,0.0,0.0,0.0,0.000319480895996,pytorch
MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.0055259068806966,0.0,0.0,0.0,0.000319480895996,pytorch
MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.0043428738911946,0.0370810963213443,0.0,0.0003323554992675,0.0003332297007242,pytorch
MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.0042040348052978,0.0370810963213443,0.0,0.0003323554992675,0.0003332297007242,pytorch
MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.0088654359181722,0.0370810963213443,0.0,0.0003323554992675,0.0003332297007242,pytorch
MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.0077120463053385,0.0370810963213443,0.0,0.0003323554992675,0.0003332297007242,pytorch
MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.1911762555440267,0.0008407293353229,0.0,0.0009868144989013,0.0,pytorch
MLP,10,64,4,tanh,float32,biharmonic,reverse_forward,0.1771448453267415,0.0008407293353229,0.0,0.0009868144989013,0.0,pytorch
MLP,10,64,4,tanh,float32,biharmonic,forward_forward,0.2476015090942382,0.0008407218847423,5.551115123125783e-17,0.0009868144989013,0.0,pytorch
MLP,10,64,4,tanh,float32,biharmonic,forward_reverse,0.2542068163553874,0.0008407218847423,5.551115123125783e-17,0.0009868144989013,0.0,pytorch
MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.0036735534667968,0.0,0.0,0.0003333886464436,0.0003333091735839,pytorch
MLP,10,64,4,relu,float32,laplacian,reverse_forward,0.0035123825073242,0.0,0.0,0.0003333886464436,0.0003333091735839,pytorch
MLP,10,64,4,relu,float32,laplacian,forward_forward,0.0071778297424316,0.0,0.0,0.0003333886464436,0.0003333091735839,pytorch
MLP,10,64,4,relu,float32,laplacian,forward_reverse,0.0073420206705729,0.0,0.0,0.0003333886464436,0.0003333091735839,pytorch
MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.0085148811340332,0.0,0.0,0.0005018711090087,0.0001684029897054,pytorch
MLP,10,64,4,relu,float32,biharmonic,reverse_forward,0.008686621983846,0.0,0.0,0.0005018711090087,0.0001684029897054,pytorch
MLP,10,64,4,relu,float32,biharmonic,forward_forward,0.031944195429484,0.0,0.0,0.0005018711090087,0.0001684029897054,pytorch
MLP,10,64,4,relu,float32,biharmonic,forward_reverse,0.0347837607065836,0.0,0.0,0.0005018711090087,0.0001684029897054,pytorch
MLP,50,64,4,tanh,float32,laplacian,reverse_reverse,0.0231375694274902,0.0003484994231257,0.0,0.0003498395284016,0.0,pytorch
MLP,50,64,4,tanh,float32,laplacian,reverse_forward,0.0237857500712076,0.0003484994231257,0.0,0.0003498395284016,0.0,pytorch
MLP,50,64,4,tanh,float32,laplacian,forward_forward,0.0447917779286702,0.0003484994231257,0.0,0.0003498395284016,0.0,pytorch
MLP,50,64,4,tanh,float32,laplacian,forward_reverse,0.0419468879699707,0.0003484994231257,0.0,0.0003498395284016,0.0,pytorch
MLP,50,64,4,tanh,float32,biharmonic,reverse_reverse,4.286961237589519,0.0980090945959091,0.0,0.0003356138865152,0.0,pytorch
MLP,50,64,4,tanh,float32,biharmonic,reverse_forward,5.268194357554118,0.0980090945959091,0.0,0.0003356138865152,0.0,pytorch
